time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-06T00:56:42.640Z,-39.029,174.7591,196.64,4.6,mb,,80,0.52,1.09,us,us1000bmlc,2017-12-06T01:11:49.040Z,"45km ESE of Waitara, New Zealand",earthquake,7.8,4.5,0.109,25,reviewed,us,us
2017-12-05T23:45:57.910Z,-10.7667,161.4741,19.59,5.1,mb,,65,2,0.91,us,us1000bmky,2017-12-06T00:08:36.040Z,"59km SW of Kirakira, Solomon Islands",earthquake,10.1,4.4,0.064,78,reviewed,us,us
2017-12-05T22:31:14.958Z,60.8398,-151.6096,68.4,3.4,ml,,,,0.84,ak,ak17483219,2017-12-05T23:31:56.316Z,"24km NW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-12-05T22:14:16.220Z,51.5491,-130.5891,10,4,mb,,184,0.835,0.92,us,us1000bmjn,2017-12-05T22:31:44.040Z,"183km WSW of Bella Bella, Canada",earthquake,6.1,2,0.138,14,reviewed,us,us
2017-12-05T21:29:16.560Z,-55.7278,-27.6617,10,4.9,mb,,69,10.293,0.86,us,us1000bmjh,2017-12-05T22:17:16.040Z,"111km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12,1.8,0.101,31,reviewed,us,us
2017-12-05T20:46:31.090Z,-3.1586,102.1472,35,4.9,mb,,145,1.44,1.07,us,us1000bmij,2017-12-06T01:09:45.476Z,"54km NW of Curup, Indonesia",earthquake,7.4,2,0.072,61,reviewed,us,us
2017-12-05T18:05:38.816Z,60.5363,-147.4615,18,2.5,ml,,,,0.65,ak,ak17478799,2017-12-05T19:32:55.040Z,"72km ESE of Whittier, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-12-05T17:49:02.910Z,40.6936684,-124.2269974,-0.39,2.54,md,10,170,0.1944,0.07,nc,nc72935406,2017-12-06T00:08:45.141Z,"5km SW of Humboldt Hill, CA",earthquake,0.55,2.23,0.06,9,automatic,nc,nc
2017-12-05T17:33:03.500Z,32.3476667,-115.1663333,26.78,2.47,ml,22,166,0.08855,0.28,ci,ci37823391,2017-12-05T19:41:19.881Z,"3km ESE of Delta, B.C., MX",earthquake,0.71,0.76,0.174,37,reviewed,ci,ci
2017-12-05T17:30:03.400Z,36.6026649,-121.1391678,0.18,2.51,md,19,77,0.04947,0.08,nc,nc72935391,2017-12-06T00:08:23.153Z,"8km N of Pinnacles, CA",earthquake,0.29,1,0.12,21,automatic,nc,nc
2017-12-05T17:00:36.080Z,-33.1985,-72.2093,15.7,4.5,mwr,,71,0.51,0.85,us,us1000bmfy,2017-12-05T23:03:18.114Z,"57km WSW of Valparaiso, Chile",earthquake,4.2,2.2,0.038,65,reviewed,us,us
2017-12-05T15:27:15.570Z,37.2085,50.0718,10,4.8,mb,,99,6.431,0.82,us,us1000bmeg,2017-12-06T01:14:51.476Z,"7km W of Langerud, Iran",earthquake,10.3,1.9,0.067,69,reviewed,us,us
2017-12-05T15:22:12.330Z,36.9397,140.5451,19.1,4.8,mb,,125,0.947,1.17,us,us1000bme8,2017-12-05T23:53:48.806Z,"24km SSE of Ishikawa, Japan",earthquake,6.9,5.2,0.065,73,reviewed,us,us
2017-12-05T15:13:59.520Z,34.2771667,-116.8595,9.15,2.54,ml,98,24,0.05285,0.14,ci,ci37823335,2017-12-05T19:06:21.010Z,"2km NW of Big Bear City, CA",earthquake,0.1,0.21,0.119,127,reviewed,ci,ci
2017-12-05T15:13:49.700Z,36.3883,137.9526,3.21,5,mb,,91,0.256,1.01,us,us1000bmdw,2017-12-05T23:55:09.530Z,"8km NE of Hotaka, Japan",earthquake,4.3,3.5,0.044,168,reviewed,us,us
2017-12-05T14:45:32.395Z,61.4541,-149.7064,28.3,3.9,ml,,,,1.05,ak,ak17475552,2017-12-06T00:31:08.129Z,"12km SSW of Knik-Fairview, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-12-05T13:12:13.310Z,1.1543,97.185,34.34,4.2,mb,,114,0.417,0.71,us,us1000bmc8,2017-12-05T14:17:49.040Z,"171km SSE of Sinabang, Indonesia",earthquake,7.8,5.4,0.186,10,reviewed,us,us
