Country,Index
Lesotho,63.2
South Africa,62.5
Central African Republic,61.3
"Micronesia, Federated States of",61.1
Haiti,60.8
Botswana,60.5
Namibia,59.7
Zambia,57.5
Hong Kong,53.7
Colombia,53.5
Guatemala,53
Paraguay,51.7
Papua New Guinea,50.9
Panama,50.7
Chile,50.5
Swaziland,50.4
"Gambia, The",50.2
Zimbabwe,50.1
Brazil,49.7
Sri Lanka,49
Nigeria,48.8
Costa Rica,48.5
Ecuador,48.5
Mexico,48.2
Dominican Republic,47.1
Nicaragua,47.1
Honduras,47.1
Bolivia,47
Rwanda,46.8
China,46.5
Malaysia,46.2
Malawi,46.1
South Sudan,46
Togo,46
Saudi Arabia,45.9
Singapore,45.8
Mozambique,45.6
Jamaica,45.5
Peru,45.3
United States,45
Cameroon,44.6
Guyana,44.6
Thailand,44.5
Iran,44.5
Philippines,44.4
Chad,43.3
Israel,42.8
Argentina,42.7
Kenya,42.5
Burundi,42.4
Ghana,42.3
Uruguay,41.6
Cote d'Ivoire,41.5
Russia,41.2
Madagascar,41
Djibouti,40.9
Morocco,40.9
Turkmenistan,40.8
Senegal,40.3
Turkey,40.2
Mali,40.1
Georgia,40.1
Tunisia,40
Jordan,39.7
Uganda,39.5
Burkina Faso,39.5
Guinea,39.4
Venezuela,39
Bhutan,38.8
Serbia,38.7
Maldives,38.4
Cambodia,37.9
Japan,37.9
Yemen,37.9
Lithuania,37.9
Vietnam,37.6
Tanzania,37.6
Bulgaria,37
El Salvador,37
Mauritania,37
Indonesia,36.8
Uzbekistan,36.8
Greece,36.7
Laos,36.7
Mongolia,36.5
Benin,36.5
New Zealand,36.2
Bosnia and Herzegovina,36.2
Falkland Islands (Islas Malvinas),36
Spain,35.9
Mauritius,35.9
Algeria,35.3
India,35.2
Macau,35
Cyprus,34.8
Estonia,34.8
Latvia,34.5
West Bank,34.5
"Korea, South",34.1
Niger,34
Sierra Leone,34
Portugal,33.9
Greenland,33.9
Azerbaijan,33.7
Macedonia,33.7
Taiwan,33.6
Kyrgyzstan,33.4
Ethiopia,33
Nepal,32.8
Tajikistan,32.6
United Kingdom,32.4
Canada,32.1
Bangladesh,32.1
Croatia,32
Liberia,32
Italy,31.9
Timor-Leste,31.9
Armenia,31.5
Ireland,31.3
European Union,31
Egypt,30.8
Poland,30.8
Pakistan,30.7
Luxembourg,30.4
Netherlands,30.3
Australia,30.3
Kosovo,30
Switzerland,29.5
Austria,29.2
France,29.2
Albania,29
Denmark,28.8
Hungary,28.2
Malta,28.1
Iceland,28
Romania,27.3
Germany,27
Moldova,26.8
Norway,26.8
Belarus,26.5
Kazakhstan,26.3
Montenegro,26.2
Belgium,25.9
Czechia,25
Sweden,24.9
Ukraine,24.6
Slovenia,24.5
Slovakia,23.7
Faroe Islands,22.7
Finland,21.5
