,alert,cdi,code,detail,dmin,felt,gap,geometry,id,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
0,,0.0,72937526,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937526&format=geojson,0.04076,0,87.0,POINT Z (-118.8061676 37.5535011 4.12),nc72937526,",nc72937526,",1.93,md,0.0,nc,28,"11km W of Toms Place, CA",0.03,57,",nc,",automatic,1512826910680,"M 1.9 - 11km W of Toms Place, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512827824446,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937526
1,,0.0,17555187,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17555187&format=geojson,0.0,0,0.0,POINT Z (-149.147 62.6019 58.4),ak17555187,",ak17555187,",1.2,ml,0.0,ak,0,"58km ENE of Talkeetna, Alaska",0.48,22,",ak,",automatic,1512826606625,"M 1.2 - 58km ENE of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1512827029643,https://earthquake.usgs.gov/earthquakes/eventpage/ak17555187
2,,0.0,17555184,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17555184&format=geojson,0.0,0,0.0,POINT Z (-149.5258 61.7424 35.4),ak17555184,",ak17555184,",1.8,ml,0.0,ak,0,"13km NNW of Tanaina, Alaska",0.68,50,",ak,",automatic,1512826382467,"M 1.8 - 13km NNW of Tanaina, Alaska",0,earthquake,",geoserve,origin,",-540,1512827029460,https://earthquake.usgs.gov/earthquakes/eventpage/ak17555184
3,,0.0,72937521,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937521&format=geojson,0.04794,0,196.0,POINT Z (-118.8031693 37.5466652 4.01),nc72937521,",nc72937521,",1.65,md,0.0,nc,21,"11km W of Toms Place, CA",0.03,42,",nc,",automatic,1512825775090,"M 1.7 - 11km W of Toms Place, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512826683417,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937521
4,,0.0,17555181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17555181&format=geojson,0.0,0,0.0,POINT Z (-152.1981 59.9165 56.4),ak17555181,",ak17555181,",1.7,ml,0.0,ak,0,"25km NW of Anchor Point, Alaska",0.38,44,",ak,",automatic,1512824764552,"M 1.7 - 25km NW of Anchor Point, Alaska",0,earthquake,",geoserve,origin,",-540,1512825189758,https://earthquake.usgs.gov/earthquakes/eventpage/ak17555181
5,,0.0,17555173,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17555173&format=geojson,0.0,0,0.0,POINT Z (-150.4675 63.2327 127),ak17555173,",ak17555173,",2.4,ml,0.0,ak,0,"78km WSW of Cantwell, Alaska",0.42,89,",ak,",automatic,1512823911140,"M 2.4 - 78km WSW of Cantwell, Alaska",0,earthquake,",geoserve,origin,",-540,1512824877877,https://earthquake.usgs.gov/earthquakes/eventpage/ak17555173
6,,0.0,37826127,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826127&format=geojson,0.03714,0,76.0,POINT Z (-116.5756667 33.4648333 9.65),ci37826127,",ci37826127,",0.72,ml,0.0,ci,34,"14km SE of Anza, CA",0.13,8,",ci,",automatic,1512821903140,"M 0.7 - 14km SE of Anza, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512822124873,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826127
7,,0.0,37826111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826111&format=geojson,0.08531,0,48.0,POINT Z (-116.8111667 33.5063333 1.77),ci37826111,",ci37826111,",0.28,ml,0.0,ci,16,"9km NE of Aguanga, CA",0.21,1,",ci,",automatic,1512821747550,"M 0.3 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512821970327,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826111
8,,0.0,17553802,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17553802&format=geojson,0.0,0,0.0,POINT Z (-149.4046 64.5364 18),ak17553802,",ak17553802,",1.2,ml,0.0,ak,0,"14km WSW of North Nenana, Alaska",0.27,22,",ak,",automatic,1512821109820,"M 1.2 - 14km WSW of North Nenana, Alaska",0,earthquake,",geoserve,origin,",-540,1512821361373,https://earthquake.usgs.gov/earthquakes/eventpage/ak17553802
9,,0.0,72937486,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937486&format=geojson,0.004422,0,102.0,POINT Z (-122.829834 38.8383331 2.13),nc72937486,",nc72937486,",0.86,md,0.0,nc,8,"9km NW of The Geysers, CA",0.01,11,",nc,",automatic,1512820426770,"M 0.9 - 9km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512828482467,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937486
