,origin,country,lat,long,magnitude,shaking_death,deaths,year,month,decade,hour,Season,sleep,strength
1034,1997-07-09 19:24,,10.45,-63.532,6.9,81.0,81.0,1997,7,1990,14.0,summer,False,6-six
359,1956-06-09 23:13,Afghanistan,35.042,67.479,7.6,,350.0,1956,6,1950,3.0,summer,True,7-seven
26,1905-06-01 04:42,Albania,42.1,19.6,6.6,,120.0,1905,6,1900,5.0,summer,True,6-six
57,1910-06-24 13:27,Algeria,36.1,3.4,6.4,,81.0,1910,6,1910,13.0,summer,False,6-six
104,1920-12-17 18:59,Argentina,-32.7,-68.4,6.0,,400.0,1920,12,1920,13.0,summer,False,6-six
178,1931-04-27 16:50,Armenia,39.2,46.0,6.3,,390.0,1931,4,1930,19.0,spring,False,6-six
14,1902-09-19,Australia,-35.0,138.0,6.0,,2.0,1902,9,1900,,spring,True,6-six
9,1902-02-13 09:39,Azerbaijan,40.7,48.6,6.9,,86.0,1902,2,1900,12.0,winter,False,6-six
118,1923-09-09 22:03,Bangladesh,24.943,90.32,7.1,,50.0,1923,9,1920,4.0,authumn,True,7-seven
730,1983-11-08 00:49,Belgium,50.696000000000005,5.346,4.9,1.0,2.0,1983,11,1980,0.0,authumn,True,4-weak
759,1985-03-19 10:28,Bolivia,-18.567,-63.6,5.8,2.0,2.0,1985,3,1980,5.0,authumn,True,5-five
490,1969-10-26 15:36,Bosnia and Herzegovina,44.806999999999995,17.352999999999998,5.6,14.0,20.0,1969,10,1960,16.0,authumn,False,5-five
1301,2007-12-09 02:03,Brazil,-15.048,-44.231,4.9,1.0,1.0,2007,12,2000,23.0,summer,True,4-weak
5,1901-03-31 07:11,Bulgaria,43.4,28.7,6.4,,4.0,1901,3,1900,8.0,spring,False,6-six
65,1912-05-23 02:24,Burma,21.0,97.0,7.7,,,1912,5,1910,8.0,spring,False,7-seven
1213,2004-02-24 02:14,Burundi,-3.36,29.445999999999998,4.7,3.0,3.0,2004,2,2000,3.0,summer,True,4-weak
281,1946-06-23 17:13,Canada,49.75,-124.5,7.6,,1.0,1946,6,1940,8.0,summer,False,7-seven
34,1906-08-17 00:40,Chile,-33.0,-72.0,8.2,,20000.0,1906,8,1900,19.0,winter,False,8-strong
4,1901-02-15 00:00,China,26.0,100.1,6.5,,,1901,2,1900,6.0,winter,False,6-six
92,1917-08-31 11:36,Colombia,4.0,-74.0,7.1,,,1917,8,1910,6.0,summer,False,7-seven
354,1955-09-01 17:33,Costa Rica,10.0,-84.5,5.8,,10.0,1955,9,1950,11.0,authumn,False,5-five
185,1932-02-03 06:16,Cuba,19.77,-75.85,6.8,,8.0,1932,2,1930,0.0,winter,True,6-six
339,1953-09-10 04:06,Cyprus,35.0,32.5,6.5,,40.0,1953,9,1950,6.0,authumn,False,6-six
828,1988-09-02 07:26,Czech Republic,49.886,18.489,3.8,0.0,3.0,1988,9,1980,8.0,authumn,False,4-weak
398,1960-09-22 09:05,Democratic Republic of the Congo,-3.6,29.0,6.6,,24.0,1960,9,1960,10.0,spring,False,6-six
849,1989-08-20 11:16,Djibouti,11.745999999999999,41.96,6.5,2.0,2.0,1989,8,1980,13.0,summer,False,6-six
283,1946-08-04 17:51,Dominican Republic,19.25,-69.0,7.9,,100.0,1946,8,1940,12.0,summer,False,7-seven
30,1906-01-31 15:36,Ecuador,1.0,-81.5,8.8,,1000.0,1906,1,1900,9.0,winter,False,8-strong
353,1955-09-12 06:09,Egypt,32.2,29.6,6.7,,20.0,1955,9,1950,7.0,authumn,False,6-six
83,1915-09-07 01:20,El Salvador,14.0,-89.0,7.4,,7.0,1915,9,1910,19.0,authumn,False,7-seven
179,1931-06-07 01:30,England,54.08,1.5,6.1,,1.0,1931,6,1930,1.0,summer,True,6-six
105,1921-08-14,Eritrea,15.61,39.445,,,,1921,8,1920,,summer,True,unknown
401,1961-06-01 23:29,Ethiopia,10.44,39.858000000000004,6.6,,30.0,1961,6,1960,1.0,summer,True,6-six
340,1953-09-14 00:26,Fiji,-18.3,178.2,6.8,,8.0,1953,9,1950,11.0,spring,False,6-six
50,1909-06-11,France,43.7,5.4,6.2,,46.0,1909,6,1900,,summer,True,6-six
101,1920-02-20 11:45,Georgia,42.0,44.1,6.2,,130.0,1920,2,1920,13.0,winter,False,6-six
229,1939-06-22 19:19,Ghana,5.18,-0.13,6.4,,22.0,1939,6,1930,18.0,summer,False,6-six
19,1903-08-11 04:32,Greece,36.36,22.97,8.3,,2.0,1903,8,1900,5.0,summer,True,8-strong
1236,2004-11-21 11:41,Guadeloupe,15.679,-61.724,6.3,1.0,1.0,2004,11,2000,6.0,authumn,False,6-six
11,1902-04-19 02:23,Guatemala,14.0,-91.0,7.5,,2000.0,1902,4,1900,19.0,spring,False,7-seven
733,1983-12-22 04:11,Guinea,11.862,-13.511,6.3,443.0,643.0,1983,12,1980,3.0,winter,True,6-six
334,1953-01-25 19:47,Haiti,18.4,-73.4,5.7,,2.0,1953,1,1950,14.0,winter,False,5-five
702,1982-09-29 05:50,Honduras,14.494000000000002,-89.102,5.6,3.0,3.0,1982,9,1980,23.0,authumn,True,5-five
356,1956-01-12 05:46,Hungary,47.5,19.3,5.8,,2.0,1956,1,1950,6.0,winter,False,5-five
64,1912-05-06 19:00,Iceland,64.0,-20.0,7.0,,1.0,1912,5,1910,17.0,spring,False,7-seven
25,1905-04-04 00:50,India,33.0,76.0,7.8,,20000.0,1905,4,1900,5.0,spring,True,7-seven
36,1907-01-04 05:19,Indonesia,2.0,94.5,7.5,,400.0,1907,1,1900,11.0,winter,False,7-seven
20,1903-09-25 01:20,Iran,35.2,58.2,6.5,,200.0,1903,9,1900,4.0,authumn,True,6-six
909,1991-07-24 09:45,Iraq,36.598,44.06100000000001,5.5,20.0,20.0,1991,7,1990,11.0,summer,False,5-five
28,1905-09-08 01:43,Italy,39.0,16.0,6.8,,2500.0,1905,9,1900,2.0,authumn,True,6-six
37,1907-01-14 21:36,Jamaica,18.2,-76.7,6.5,,1000.0,1907,1,1900,15.0,winter,False,6-six
1,1900-05-11 17:23,Japan,38.7,141.1,7.0,,,1900,5,1900,2.0,spring,True,7-seven
16,1903-03-29 22:30,Judea and Samaria,32.2,35.3,5.7,,20.0,1903,3,1900,0.0,spring,True,5-five
58,1911-01-03 23:25,Kazakhstan,43.5,77.5,7.8,,450.0,1911,1,1910,4.0,winter,True,7-seven
176,1931-03-08 01:50,Kingdom of Yugoslavia,41.336999999999996,22.666,6.8,,35.0,1931,3,1930,2.0,spring,True,6-six
59,1911-02-18 18:41,Kyrgyzstan,40.0,73.0,7.2,,90.0,1911,2,1910,22.0,winter,True,7-seven
414,1963-06-26 04:17,Macedonia,,,6.1,,1100.0,1963,6,1960,,unknown,True,6-six
836,1989-03-09 02:37,Malawi,-13.683,34.473,5.6,,9.0,1989,3,1980,4.0,authumn,True,5-five
901,1991-05-26 10:59,Malaysia,5.858,116.652,5.1,0.0,1.0,1991,5,1990,17.0,spring,False,5-five
142,1927-07-11 13:04,Mandatory Palestine and Transjordan,32.0,35.5,6.3,,361.0,1927,7,1920,15.0,summer,False,6-six
1300,2007-11-29 19:00,Martinique,14.944,-61.273999999999994,7.4,1.0,1.0,2007,11,2000,14.0,authumn,False,7-seven
38,1907-04-15 06:08,Mexico,17.0,-100.0,7.9,,28.0,1907,4,1900,23.0,spring,True,7-seven
372,1957-12-04 03:37,Mongolia,45.153,99.206,8.1,,,1957,12,1950,9.0,winter,False,8-strong
637,1979-04-15 06:19,Montenegro,41.998999999999995,19.156,6.9,156.0,156.0,1979,4,1970,7.0,spring,False,6-six
394,1960-02-29 23:40,Morocco,30.5,-9.5,5.7,,13100.0,1960,2,1960,22.0,winter,True,5-five
1265,2006-02-22 22:19,Mozambique,-21.324,33.583,7.0,4.0,4.0,2006,2,2000,0.0,summer,True,7-seven
202,1934-01-15 08:43,Nepal,26.773000000000003,86.762,8.1,,10700.0,1934,1,1930,13.0,winter,False,8-strong
919,1992-04-13 01:20,Netherlands,51.181000000000004,5.843999999999999,5.4,0.0,1.0,1992,4,1990,1.0,spring,True,5-five
7,1901-11-15 20:15,New Zealand,-43.0,173.0,6.8,,1.0,1901,11,1900,7.0,spring,False,6-six
137,1926-11-05 07:55,Nicaragua,12.67,-86.736,7.1,,,1926,11,1920,1.0,authumn,True,7-seven
52,1909-10-20 23:41,Pakistan,30.0,68.0,7.0,,231.0,1909,10,1900,3.0,authumn,True,7-seven
544,1974-07-13 01:18,Panama,7.737,-77.631,7.3,11.0,11.0,1974,7,1970,19.0,summer,False,7-seven
98,1919-05-06 19:40,Papua New Guinea,-5.477,152.629,7.6,,,1919,5,1910,5.0,authumn,True,7-seven
70,1913-08-06 22:14,Peru,-17.0,-74.0,7.8,,,1913,8,1910,17.0,winter,False,7-seven
39,1907-04-18 20:59,Philippines,14.0,123.0,7.1,,2.0,1907,4,1900,4.0,spring,True,7-seven
792,1986-12-18 20:01,Poland,50.303999999999995,19.235,2.8,0.0,3.0,1986,12,1980,21.0,winter,False,4-weak
47,1909-04-23 17:39,Portugal,38.9,-8.8,6.6,,30.0,1909,4,1900,16.0,spring,False,6-six
97,1918-10-11 14:14,Puerto Rico,18.473,-67.631,7.3,,116.0,1918,10,1910,9.0,authumn,False,7-seven
238,1940-11-10 01:39,Romania,45.773,26.655,7.3,,1000.0,1940,11,1940,2.0,authumn,True,7-seven
96,1918-09-07 17:15,Russian Federation,46.812,150.253,7.6,,24.0,1918,9,1910,3.0,authumn,True,7-seven
1307,2008-02-14 02:07,Rwanda,-2.404,28.918000000000003,5.3,1.0,1.0,2008,2,2000,3.0,summer,True,5-five
160,1929-11-18 20:32,Saint Pierre and Miquelon,44.538999999999994,-56.008,7.3,,52.0,1929,11,1920,16.0,authumn,False,7-seven
1327,2009-09-29 17:48,Samoa,,,8.1,,189.0,2009,9,2000,,unknown,True,8-strong
1004,1995-11-22 04:15,Saudi Arabia/Egypt,28.761999999999997,34.808,7.2,9.0,10.0,1995,11,1990,6.0,authumn,False,7-seven
1061,1998-09-29 22:14,Serbia,44.203,20.094,5.5,0.0,1.0,1998,9,1990,23.0,authumn,True,5-five
1048,1998-04-12 10:55,Slovenia,46.271,13.652999999999999,5.6,0.0,1.0,1998,4,1990,10.0,spring,False,5-five
183,1931-10-03 19:13,Solomon Islands,-10.932,161.016,7.8,,50.0,1931,10,1930,5.0,spring,True,7-seven
487,1969-09-29 20:03,South Africa,-33.19,19.336,6.3,12.0,12.0,1969,9,1960,21.0,spring,False,6-six
1033,1997-05-21 23:50,Spain,42.83,-7.231,5.3,0.0,1.0,1997,5,1990,22.0,spring,True,5-five
950,1993-08-01 00:20,Sudan,15.401,31.701,5.5,2.0,3.0,1993,8,1990,2.0,summer,True,5-five
358,1956-03-16 19:32,Syrian Arab Republic,35.5,35.5,5.8,,148.0,1956,3,1950,21.0,spring,False,5-five
21,1904-04-24 06:39,Taiwan,23.5,120.5,6.0,,3.0,1904,4,1900,14.0,spring,False,6-six
309,1949-07-10 03:53,Tajik Soviet Socialist Republic,39.0,70.5,7.6,,12000.0,1949,7,1940,7.0,summer,False,7-seven
40,1907-10-21 04:23,Tajikistan,38.0,69.0,7.2,,15000.0,1907,10,1900,8.0,authumn,False,7-seven
419,1964-05-07 05:45,Tanzania,-3.93,35.111999999999995,6.3,,4.0,1964,5,1960,7.0,authumn,False,6-six
365,1957-02-20 04:41,Tunisia,36.2,8.9,5.6,,13.0,1957,2,1950,4.0,winter,True,5-five
2,1900-07-12 06:25,Turkey,40.3,43.1,5.9,,140.0,1900,7,1900,8.0,summer,False,5-five
154,1929-05-01 15:37,Turkmenistan,37.957,57.693000000000005,7.1,,3300.0,1929,5,1920,18.0,spring,False,7-seven
379,1958-07-10 06:15,US Territory of Alaska,58.37,-136.665,7.3,,5.0,1958,7,1950,20.0,summer,False,7-seven
961,1994-02-05 23:34,Uganda,0.5579999999999999,30.081,6.2,2.0,8.0,1994,2,1990,1.0,winter,True,6-six
33,1906-04-18 13:12,United States,38.0,-123.0,7.8,,2000.0,1906,4,1900,4.0,spring,True,7-seven
561,1975-11-29 14:47,United States Minor Outlying Islands,19.452,-155.034,7.2,2.0,2.0,1975,11,1970,3.0,authumn,True,7-seven
