,origin,country,lat,long,depth_km,magnitude,sec_effects,shaking_death,pde_total,utsu_total,em_total,other_deaths,deaths
1,1900-05-11 17:23,Japan,38.7,141.1,5,7.0,,,,,,,
2,1900-07-12 06:25,Turkey,40.3,43.1,,5.9,,,,140.0,,,140.0
3,1900-10-29 09:11,Venezuela,11.0,-66.0,0,7.7,,,,,,,
4,1901-02-15 00:00,China,26.0,100.1,0,6.5,,,,,,,
5,1901-03-31 07:11,Bulgaria,43.4,28.7,,6.4,,,,4.0,,,4.0
6,1901-08-09 09:23,Japan,40.5,142.5,35,7.2,T,,,,,,
7,1901-11-15 20:15,New Zealand ,-43.0,173.0,0,6.8,,,,1.0,,,1.0
8,1902-01-30 14:01,Japan,40.5,141.3,35,6.9,,,,1.0,,,1.0
9,1902-02-13 09:39,Azerbaijan,40.7,48.6,15,6.9,,,,86.0,,,86.0
10,1902-03-09 07:46,Turkey,40.7,33.6,,5.5,,,,4.0,,,4.0
11,1902-04-19 02:23,Guatemala ,14.0,-91.0,0,7.5,,,,2000.0,2000.0,,2000.0
12,1902-07-03 15:36,China,43.2,129.6,20,6.7,,,,,,,
13,1902-08-22 03:00,China,40.0,77.0,0,7.7,,,,5650.0,,,5650.0
14,1902-09-19,Australia,-35.0,138.0,2,6.0,,,,2.0,,,2.0
15,1902-12-16 05:07,Uzbekistan,40.8,72.3,9,6.4,,,,4725.0,,,4725.0
16,1903-03-29 22:30,Judea and Samaria,32.2,35.3,,5.7,,,,20.0,,,20.0
17,1903-04-28,Turkey ,39.14,42.65,,7.0,,,,,,3500.0,3500.0
18,1903-05-28 03:58,Turkey,40.9,42.7,,5.8,,,,1000.0,,,1000.0
19,1903-08-11 04:32,Greece,36.36,22.97,80,8.3,,,,2.0,,,2.0
20,1903-09-25 01:20,Iran,35.2,58.2,,6.5,,,,200.0,,,200.0
21,1904-04-24 06:39,Taiwan,23.5,120.5,,6.0,,,,3.0,,,3.0
22,1904-08-11 05:56,Greece,37.75,27.0,10,6.2,,,,4.0,,,4.0
23,1904-08-30 11:42,China,30.0,101.0,0,6.8,,,,565.0,,,565.0
24,1904-11-05 20:25,Taiwan ,23.5,120.3,,6.3,,,,145.0,,,145.0
25,1905-04-04 00:50,India,33.0,76.0,0,7.8,,,,20000.0,20000.0,,20000.0
26,1905-06-01 04:42,Albania,42.1,19.6,20,6.6,,,,120.0,,,120.0
27,1905-06-02 05:39,Japan,34.1,132.5,55,7.0,,,,11.0,,,11.0
28,1905-09-08 01:43,Italy ,39.0,16.0,0,6.8,T,,,557.0,2500.0,,2500.0
29,1905-11-08 22:06,Greece,40.0,24.0,0,6.8,,,,,,,
30,1906-01-31 15:36,Ecuador ,1.0,-81.5,0,8.8,T,,,1000.0,400.0,,1000.0
31,1906-03-16 22:42,Taiwan ,23.6,120.4,5,6.8,,,,1258.0,,,1258.0
32,1906-04-13 19:18,Taiwan,23.6,120.4,5,7.1,,,,15.0,,,15.0
33,1906-04-18 13:12,United States ,38.0,-123.0,0,7.8,F,,,700.0,2000.0,,2000.0
34,1906-08-17 00:40,Chile ,-33.0,-72.0,0,8.2,T,,,3760.0,20000.0,,20000.0
