,origin,country,lat,long,magnitude,shaking_death,deaths,year,month,decade,hour,Season,sleep,strength
1,1900-05-11 17:23,Japan,38.7,141.1,7.0,,,1900,5,1900,2.0,spring,True,7-seven
2,1900-07-12 06:25,Turkey,40.3,43.1,5.9,,140.0,1900,7,1900,8.0,summer,False,5-five
3,1900-10-29 09:11,Venezuela,11.0,-66.0,7.7,,,1900,10,1900,4.0,authumn,True,7-seven
4,1901-02-15 00:00,China,26.0,100.1,6.5,,,1901,2,1900,6.0,winter,False,6-six
5,1901-03-31 07:11,Bulgaria,43.4,28.7,6.4,,4.0,1901,3,1900,8.0,spring,False,6-six
6,1901-08-09 09:23,Japan,40.5,142.5,7.2,,,1901,8,1900,18.0,summer,False,7-seven
7,1901-11-15 20:15,New Zealand,-43.0,173.0,6.8,,1.0,1901,11,1900,7.0,spring,False,6-six
8,1902-01-30 14:01,Japan,40.5,141.3,6.9,,1.0,1902,1,1900,23.0,winter,True,6-six
9,1902-02-13 09:39,Azerbaijan,40.7,48.6,6.9,,86.0,1902,2,1900,12.0,winter,False,6-six
10,1902-03-09 07:46,Turkey,40.7,33.6,5.5,,4.0,1902,3,1900,9.0,spring,False,5-five
11,1902-04-19 02:23,Guatemala,14.0,-91.0,7.5,,2000.0,1902,4,1900,19.0,spring,False,7-seven
12,1902-07-03 15:36,China,43.2,129.6,6.7,,,1902,7,1900,23.0,summer,True,6-six
13,1902-08-22 03:00,China,40.0,77.0,7.7,,5650.0,1902,8,1900,8.0,summer,False,7-seven
14,1902-09-19,Australia,-35.0,138.0,6.0,,2.0,1902,9,1900,,spring,True,6-six
15,1902-12-16 05:07,Uzbekistan,40.8,72.3,6.4,,4725.0,1902,12,1900,9.0,winter,False,6-six
16,1903-03-29 22:30,Judea and Samaria,32.2,35.3,5.7,,20.0,1903,3,1900,0.0,spring,True,5-five
17,1903-04-28,Turkey,39.14,42.65,7.0,,3500.0,1903,4,1900,,spring,True,7-seven
18,1903-05-28 03:58,Turkey,40.9,42.7,5.8,,1000.0,1903,5,1900,5.0,spring,True,5-five
19,1903-08-11 04:32,Greece,36.36,22.97,8.3,,2.0,1903,8,1900,5.0,summer,True,8-strong
20,1903-09-25 01:20,Iran,35.2,58.2,6.5,,200.0,1903,9,1900,4.0,authumn,True,6-six
21,1904-04-24 06:39,Taiwan,23.5,120.5,6.0,,3.0,1904,4,1900,14.0,spring,False,6-six
22,1904-08-11 05:56,Greece,37.75,27.0,6.2,,4.0,1904,8,1900,6.0,summer,False,6-six
23,1904-08-30 11:42,China,30.0,101.0,6.8,,565.0,1904,8,1900,17.0,summer,False,6-six
24,1904-11-05 20:25,Taiwan,23.5,120.3,6.3,,145.0,1904,11,1900,4.0,authumn,True,6-six
25,1905-04-04 00:50,India,33.0,76.0,7.8,,20000.0,1905,4,1900,5.0,spring,True,7-seven
26,1905-06-01 04:42,Albania,42.1,19.6,6.6,,120.0,1905,6,1900,5.0,summer,True,6-six
27,1905-06-02 05:39,Japan,34.1,132.5,7.0,,11.0,1905,6,1900,13.0,summer,False,7-seven
28,1905-09-08 01:43,Italy,39.0,16.0,6.8,,2500.0,1905,9,1900,2.0,authumn,True,6-six
