,alert,cdi,code,detail,dmin,felt,gap,geometry,id,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
0,,0.0,17603512,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17603512&format=geojson,0.0,0,0.0,POINT Z (-147.6445 63.1058 8.800000000000001),ak17603512,",ak17603512,",2.0,ml,0.0,ak,0,"72km ESE of Cantwell, Alaska",0.68,62,",ak,",automatic,1513434089535,"M 2.0 - 72km ESE of Cantwell, Alaska",0,earthquake,",geoserve,origin,",-540,1513434544074,https://earthquake.usgs.gov/earthquakes/eventpage/ak17603512
1,,0.0,62009231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv62009231&format=geojson,0.0,0,128.0,POINT Z (-155.4351654 19.2150002 36.36),hv62009231,",hv62009231,",2.01,md,0.0,hv,42,"4km ENE of Pahala, Hawaii",0.13,62,",hv,",automatic,1513433625740,"M 2.0 - 4km ENE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1513433820690,https://earthquake.usgs.gov/earthquakes/eventpage/hv62009231
2,,0.0,2000c57x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c57x&format=geojson,1.869,0,99.0,POINT Z (130.0539 -6.5704 125.27),us2000c57x,",us2000c57x,",4.4,mb,0.0,us,0,"206km NW of Saumlaki, Indonesia",1.0,298,",us,",reviewed,1513428327700,"M 4.4 - 206km NW of Saumlaki, Indonesia",0,earthquake,",geoserve,origin,phase-data,",540,1513429844040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c57x
3,,0.0,62009041,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv62009041&format=geojson,0.0,0,44.0,POINT Z (-155.2774963 19.3880005 2.98),hv62009041,",hv62009041,",2.0,ml,0.0,hv,28,"6km SW of Volcano, Hawaii",0.17,62,",hv,",automatic,1513427851180,"M 2.0 - 6km SW of Volcano, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1513428192220,https://earthquake.usgs.gov/earthquakes/eventpage/hv62009041
4,,0.0,2000c57n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c57n&format=geojson,6.581,0,46.0,POINT Z (-177.6537 -17.2852 382.6),us2000c57n,",us2000c57n,",5.4,mww,0.0,us,0,Fiji region,1.1,449,",us,",reviewed,1513423343950,M 5.4 - Fiji region,0,earthquake,",geoserve,origin,phase-data,",-720,1513424269040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c57n
5,,0.0,2000c57k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c57k&format=geojson,3.701,0,93.0,POINT Z (147.9104 -5.7549 24.77),us2000c57k,",us2000c57k,",4.5,mb,0.0,us,0,"93km N of Finschhafen, Papua New Guinea",0.76,312,",us,",reviewed,1513421791900,"M 4.5 - 93km N of Finschhafen, Papua New Guinea",0,earthquake,",geoserve,origin,phase-data,",600,1513422824040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c57k
6,,0.0,2017350002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2017350002&format=geojson,0.6311,0,241.0,POINT Z (-66.78879999999999 19.0525 51),pr2017350002,",pr2017350002,",3.11,md,0.0,pr,12,"62km N of Hatillo, Puerto Rico",0.83,149,",pr,",reviewed,1513421447200,"M 3.1 - 62km N of Hatillo, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1513423256570,https://earthquake.usgs.gov/earthquakes/eventpage/pr2017350002
7,,0.0,2017350004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2017350004&format=geojson,0.1182,0,347.0,POINT Z (-66.45229999999999 18.5666 90),pr2017350004,",pr2017350004,",3.27,md,0.0,pr,3,"12km NNE of Tierras Nuevas Poniente, Puerto Rico",0.05,165,",pr,",reviewed,1513421105440,"M 3.3 - 12km NNE of Tierras Nuevas Poniente, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1513433810942,https://earthquake.usgs.gov/earthquakes/eventpage/pr2017350004
8,,2.7,61360371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61360371&format=geojson,0.1803,3,52.0,POINT Z (-122.1968307 48.1899986 13.17),uw61360371,",uw61360371,us2000c57g,",2.7,md,0.0,uw,36,"4km NNW of Smokey Point, Washington",0.15,113,",uw,us,",automatic,1513420733040,"M 2.7 - 4km NNW of Smokey Point, Washington",0,earthquake,",dyfi,geoserve,origin,phase-data,",-480,1513433731485,https://earthquake.usgs.gov/earthquakes/eventpage/uw61360371
9,,0.0,72940831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72940831&format=geojson,0.05871,0,48.0,POINT Z (-120.2805023 35.7374992 5.26),nc72940831,",nc72940831,",2.08,md,0.0,nc,21,"2km NE of Cholame, CA",0.09,67,",nc,",automatic,1513418649420,"M 2.1 - 2km NE of Cholame, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1513430643140,https://earthquake.usgs.gov/earthquakes/eventpage/nc72940831
