,origin,country,lat,long,magnitude,shaking_death,deaths,year,month,decade,hour,Season,sleep,Class,year5,density,GDP
0,1900-05-11 17:23,Japan,38.7,141.1,7.0,,,1900,5,1900,2.0,spring,True,Major,1900,,
1,1900-07-12 06:25,Turkey,40.3,43.1,5.9,,140.0,1900,7,1900,8.0,summer,False,Moderate,1900,,
2,1901-02-15 00:00,China,26.0,100.1,6.5,,,1901,2,1900,6.0,winter,True,Strong,1900,,
3,1901-08-09 09:23,Japan,40.5,142.5,7.2,,,1901,8,1900,18.0,summer,False,Major,1900,,
4,1902-01-30 14:01,Japan,40.5,141.3,6.9,,1.0,1902,1,1900,23.0,winter,True,Strong,1900,,
5,1902-03-09 07:46,Turkey,40.7,33.6,5.5,,4.0,1902,3,1900,9.0,spring,False,Moderate,1900,,
6,1902-07-03 15:36,China,43.2,129.6,6.7,,,1902,7,1900,23.0,summer,True,Strong,1900,,
7,1902-08-22 03:00,China,40.0,77.0,7.7,,5650.0,1902,8,1900,8.0,summer,False,Major,1900,,
8,1903-04-28,Turkey,39.14,42.65,7.0,,3500.0,1903,4,1900,,spring,True,Major,1900,,
9,1903-05-28 03:58,Turkey,40.9,42.7,5.8,,1000.0,1903,5,1900,5.0,spring,True,Moderate,1900,,
10,1904-08-30 11:42,China,30.0,101.0,6.8,,565.0,1904,8,1900,17.0,summer,False,Strong,1900,,
11,1905-06-02 05:39,Japan,34.1,132.5,7.0,,11.0,1905,6,1900,13.0,summer,False,Major,1905,,
12,1906-12-22 18:21,China,43.5,85.0,7.2,,285.0,1906,12,1900,23.0,winter,True,Major,1905,,
13,1909-01-19 04:56,Turkey,38.6,26.9,5.8,,8.0,1909,1,1900,5.0,winter,True,Moderate,1905,,
14,1909-02-09 11:24,Turkey,40.0,38.0,6.8,,,1909,2,1900,13.0,winter,False,Strong,1905,,
15,1909-05-11 15:54,China,24.4,103.0,6.5,,19.0,1909,5,1900,21.0,spring,True,Strong,1905,,
16,1909-08-14 06:31,Japan,35.4,136.3,6.7,,41.0,1909,8,1900,15.0,summer,False,Strong,1905,,
17,1909-10-20 23:41,Pakistan,30.0,68.0,7.0,,231.0,1909,10,1900,3.0,authumn,True,Major,1905,,
18,1909-11-10 06:13,Japan,32.3,131.1,7.5,,2.0,1909,11,1900,14.0,authumn,False,Major,1905,,
19,1910-01-08 14:49,China,35.0,122.0,6.8,,1.0,1910,1,1910,22.0,winter,True,Strong,1910,,
20,1910-04-12 00:22,Japan,25.0,123.0,7.6,,20.0,1910,4,1910,8.0,spring,False,Major,1910,,
21,1911-06-15 14:26,Japan,28.0,130.0,8.1,,12.0,1911,6,1910,22.0,summer,True,Great,1910,,
22,1912-08-09 01:29,Turkey,40.5,27.0,7.6,,2836.0,1912,8,1910,2.0,summer,True,Major,1910,,
23,1913-08-06 22:14,Peru,-17.0,-74.0,7.8,,,1913,8,1910,17.0,winter,False,Major,1910,,
24,1913-11-04 21:33,Peru,-14.2,-72.9,6.3,,150.0,1913,11,1910,16.0,spring,False,Strong,1910,,
25,1913-12-21 15:37,China,24.5,102.0,7.2,,1314.0,1913,12,1910,21.0,winter,True,Major,1910,,
26,1914-01-12 09:28,Japan,31.6,130.6,6.7,,35.0,1914,1,1910,17.0,winter,False,Strong,1910,,
27,1914-03-14 20:00,Japan,39.5,140.4,7.0,,94.0,1914,3,1910,5.0,spring,True,Major,1910,,
28,1914-08-04 22:41,China,43.5,91.5,7.2,,,1914,8,1910,4.0,summer,True,Major,1910,,
29,1914-10-03 22:06,Turkey,37.5,32.5,7.1,,4000.0,1914,10,1910,0.0,authumn,True,Major,1910,,
30,1915-03-17 18:45,Japan,42.1,143.6,7.2,,2.0,1915,3,1910,3.0,spring,True,Major,1915,,
31,1915-12-03 02:39,China,29.5,91.5,7.0,,170.0,1915,12,1910,8.0,winter,False,Major,1915,,
32,1917-01-24 00:48,China,31.0,114.0,6.5,,,1917,1,1910,7.0,winter,False,Strong,1915,,
